"Taxonomy","Domain","Phylum","Class","Order","Family","Genus","Habitat","Freq","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; JADKCZ01","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","JADKCZ01","freshwater sediment",100,0.532939722279733,0.00251267634363958,0.482937031421348,0.588735250687691,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Thermoleophilia; RBG-16-64-13; RBG-16-64-13; CAIQPS01","Bacteria","Actinomycetota","Thermoleophilia","RBG-16-64-13","RBG-16-64-13","CAIQPS01","freshwater sediment",100,0.532560454941783,0.00163500557506069,0.498062008211037,0.569224857941896,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; Syntrophia; Syntrophales; UBA5619; UBA5619","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","UBA5619","UBA5619","freshwater sediment",100,0.53128878566672,0.00261891618271347,0.458568327738412,0.587312184937361,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Thermoguttaceae; JAJFVC01","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Thermoguttaceae","JAJFVC01","freshwater sediment",100,0.530661657133805,0.00201090207159849,0.490909481150402,0.569024205333575,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; CG2-30-64-16; CG2-30-64-16; MO66","Bacteria","Chloroflexota","Anaerolineae","CG2-30-64-16","CG2-30-64-16","MO66","freshwater sediment",100,0.528464910681978,0.00222307711310721,0.477043626379104,0.574457714574145,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Verrucomicrobiota; Verrucomicrobiia; Limisphaerales; UBA8199; PALSA-1440","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Limisphaerales","UBA8199","PALSA-1440","freshwater sediment",100,0.526908485271339,0.00245942067530245,0.478069932875803,0.587114045044513,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; CAIOAK01","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","CAIOAK01","freshwater sediment",100,0.526022739343001,0.0032876650882836,0.445123871899203,0.589015463541721,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Fen-336; Fen-336; DATKME01","Bacteria","Acidobacteriota","Vicinamibacteria","Fen-336","Fen-336","DATKME01","freshwater sediment",100,0.523085453610066,0.00180818819195301,0.482538301824569,0.576106287716196,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; CG2-30-64-16; CG2-30-64-16; CAKZKT01","Bacteria","Chloroflexota","Anaerolineae","CG2-30-64-16","CG2-30-64-16","CAKZKT01","freshwater sediment",100,0.52284565541356,0.00196608044519887,0.464464432937724,0.561258117078026,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; SCUD01","Bacteria","Pseudomonadota","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","SCUD01","freshwater sediment",100,0.522555409195281,0.00192979467653745,0.464085320765835,0.575853079853796,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; SM23-61; SM23-61; SM23-61; SM23-61","Bacteria","Desulfobacterota","SM23-61","SM23-61","SM23-61","SM23-61","freshwater sediment",100,0.519020640039499,0.00180222834287357,0.470931027756025,0.549258759771007,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; JACQAP01; JACQAP01","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","JACQAP01","JACQAP01","freshwater sediment",100,0.517616832726551,0.00274339696419416,0.457943064100085,0.578996695397913,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Verrucomicrobiota; Verrucomicrobiia; Limisphaerales; UBA11358; JADLHS01","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Limisphaerales","UBA11358","JADLHS01","freshwater sediment",100,0.515549739384641,0.00272996639543675,0.450774102745321,0.587756636979936,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; DSM-12255; VEOV01","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","DSM-12255","VEOV01","freshwater sediment",100,0.513093198065625,0.00249640087017948,0.420729113579019,0.570856956577986,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Thiobacillaceae; Thiobacillus","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","Thiobacillus","freshwater sediment",100,0.513003730531903,0.0063791555384901,0.372471376151688,0.638148146422658,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; JAUVQV01; JAUVQV01; JAUVQV01; DATDCY01; DATDCY01","Bacteria","JAUVQV01","JAUVQV01","JAUVQV01","DATDCY01","DATDCY01","freshwater sediment",100,0.512395840657135,0.00226762531210566,0.459626638779006,0.565138566011349,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium_B","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium_B","freshwater sediment",100,0.509920139419138,0.00299186294939777,0.427915819409086,0.570329993030824,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
