"Taxonomy","Habitat","PercRunsInd","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Acidobacteriota; UBA6911; UBA6911; UBA6911; UBA6911","freshwater sediment",100,0.605732995246247,0.00298655999628203,0.540381711724404,0.679442822168365,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; UBA890; UBA890; UBA890; CBDCGW01","marine sediment",100,0.524533943962624,0.00213823483737825,0.445612091113567,0.573207093188331,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Fen-336; Fen-336; DATBSL01","freshwater sediment",100,0.725761772504227,0.00177307785585151,0.687163478875493,0.764802680426594,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Fen-336; Fen-336; JAJDNS01","marine sediment",100,0.704244887081409,0.00191400991341717,0.644838502219241,0.745344525396451,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Marinacidobacterales; DATDRI01; CAVONV01","marine sediment",100,0.542978483695203,0.00228900009959007,0.492466152188364,0.588154678571824,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; DATBJJ01","soil",100,0.542316643537209,0.00288149479213191,0.467551430933125,0.612433805817484,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; JACCXG01","soil",100,0.625623805859523,0.00294694829551987,0.544081221308791,0.68154735911827,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; JACDCA01","soil",100,0.61121082646817,0.00298898649002117,0.540347712356619,0.702433850142415,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; JAICSD01","soil",100,0.713452242965959,0.00247347478542049,0.658042276790706,0.772360695229928,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; JALZOC01","soil",100,0.705665301960914,0.0024731794035556,0.629704003308654,0.755942219456722,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; QHWT01","soil",100,0.549798414088805,0.00311065768315772,0.475720202730648,0.60520409780503,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; CAVVIG01; CAVQFC01","soil",100,0.608561614781869,0.00299126708396736,0.532026787908751,0.673677388367727,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; CAVVIG01; CAVQJU01","soil",100,0.505046432589264,0.00340004335065003,0.407360843899923,0.571621896323687,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; CAVVIG01; CAVREM01","soil",100,0.578159772811484,0.00289617746997895,0.50797450254722,0.640524396561656,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; CAVVIG01; CAVVIG01","soil",100,0.572622453719607,0.00258338411939435,0.508905350583678,0.62723909574441,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; CAVVIG01; DATLLJ01","soil",100,0.510208501579101,0.00332909240195431,0.428063190706811,0.608757760806509,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; CAVVIG01; Gp6-AA45","soil",100,0.510525387867351,0.00294173798788535,0.436241225338959,0.626944035404606,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; Fen-181; FEN-299","freshwater sediment",100,0.615040742065381,0.00266508611014733,0.544869290566761,0.677799359568144,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; JAENWD01; JAENWD01","soil",100,0.593191231078803,0.00417724917176157,0.476666935787641,0.669756772859019,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; JAKQTR01; JAKQTR01","freshwater sediment",100,0.646751455964153,0.00250362989921854,0.581212540193032,0.705077415469913,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; JAMQPK01; JAMQPK01","soil",100,0.626250715096687,0.00282214041147472,0.548720544583102,0.685851738014665,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; UBA2999; 12-FULL-67-14b","soil",100,0.545454278326592,0.00290762409724961,0.467249591987033,0.636162948232052,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; UBA2999; Gp6-AA40","soil",100,0.720519202658235,0.00241306388860092,0.663902186195748,0.771651917942575,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; UBA2999; JACCSI01","soil",100,0.531088613859824,0.00309103601854029,0.431360885455305,0.596783442514926,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; Vicinamibacteraceae; JBDSLU01","soil",100,0.568974971033258,0.00283709196827306,0.487078948056005,0.639452891149927,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobilacustridaceae; Acidimicrobilacustris","freshwater water",100,0.669935626851409,0.00266480591660592,0.600632623928207,0.729373358943666,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Aldehydirespiratoraceae; UBA11606","marine water",100,0.540480491657661,0.0032197980035532,0.405449602948348,0.591716520275522,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; BACL27","freshwater water",100,0.669211322308855,0.0027577925218892,0.581139413495712,0.727833182824538,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; Casp-actino8","freshwater water",100,0.752896554540548,0.00240393443770059,0.699159705767582,0.805182705441913,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; F1-20-MAGs119","freshwater water",100,0.707392508063305,0.00251813665811147,0.634604443648604,0.766807666236129,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; F1-60-MAGs027","freshwater water",100,0.636009493424449,0.0027242342024076,0.575746268807005,0.687716190080086,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
